Name,Prediction
tsel'ko,1
manson,2
timaev,1
jitnikov,1
agranovski,1
tchekhovsky,1
jagupets,1
grokhar,1
talalai,1
dzhabrailov,1
tsval,2
serejnikov,1
valaev,2
mottram,1
kachalin,1
nureev,1
zhulyabin,1
rahletsky,1
tzallagov,1
tzekhansky,1
morton,1
tselikov,1
jatzuba,1
moriarty,1
yablonowsky,1
agar,1
douthwaite,1
chukhonkin,1
piruzyan,1
belikovich,1
tchekmezov,1
vyazmin,1
knoxville,2
ablesimoff,1
whittaker,1
uchaev,2
saker,2
norris,2
agayan,2
kalashnik,1
raikhman,1
dzhikaev,1
eletskih,1
shand,2
pahmutov,1
kachanovsky,1
zhavoronkov,1
bakastov,1
mulin,0
bekhtin,0
zinkevich,1
getman,0
gachinsky,1
ropple,2
artyushkov,1
falconer,1
veprentsov,1
fitzpatrick,1
makhno,1
dyde,1
jakimchik,1
lepikhov,1
tugai,1
pyle,1
vainunas,1
yagodin,1
toland,2
zhirnyakov,1
arah,1
zholtovsky,1
bagimov,1
munin,0
baikin,1
mogilnikov,1
losyukov,1
martin,1
antonts,1
vyborny,1
tumin,1
judd,2
lohvitsky,1
glukhotko,1
gramberg,2
anisfeld,1
keeley,1
hlyzov,1
kartamyshev,1
tselikovsky,1
tsenkovsky,1
gladtsin,0
birilev,1
moshenkov,1
jankis,1
yanko,0
chernin,1
gorchatov,0
jukhno,1
abuhov,1
harrison,2
vilonov,1
zharkov,0
awalyan,1
maksimovich,1
adam,1
gluharev,1
uemov,2
pochtennyh,1
gujavin,1
longhurst,1
gorchilin,1
zasulich,1
shaidenko,1
mihalchev,1
awerkin,1
jirov,1
gasnikov,1
brett,2
parensky,1
sims,1
bahtiyarov,1
zastrozhny,1
chepik,0
vedrinsky,1
musalnikov,1
hopkinson,1
nyrtsev,1
baklykoff,1
kartashkin,1
peal,2
kalaberda,1
loft,0
grokhovsky,1
tidmarsh,2
onischuk,1
balabolkin,1
rihter,0
agabekoff,1
butler,1
astyrev,1
neyland,1
holdsworth,1
ruzsky,1
to the first page,1
honenev,2
porosenkov,1
close,2
nosikov,1
yakhin,1
gudim,1
porokhovschikov,1
zhadkevich,1
yufit,0
lathey,1
diyajev,0
yardley,1
pullen,2
grushko,1
didenko,1
dobrovsky,1
stringer,1
agnivtsev,1
likhonosov,1
kenrick,2
alam,1
ohara,1
donchak,1
denney,1
emery,1
awramtchik,1
neilsen,1
wallis,2
jackman,1
chuhonkin,1
jitny,1
vins,1
grange,2
shalov,1
gridnev,1
ladyjets,1
turusin,1
lygin,1
underhill,1
jukhman,1
kalgashkin,1
harev,1
ryzhih,1
zasuhin,0
markushin,1
turney,1
velmukin,2
nejinsky,1
lapikov,0
baum,1
aldworth,2
lofthouse,1
killick,1
pavlenkov,1
kartashev,1
zhuravkov,1
velikin,1
livshin,1
serjantov,1
andreyanov,1
goodall,1
sykes,0
olson,1
glaz,1
liverovsky,1
nutman,0
onusaitis,1
oborin,1
wakefield,1
jurkovsky,1
pavlenok,1
geftler,0
townsend,2
dell,2
chartorizhsky,1
dienko,2
havanov,1
trukhanov,1
pypin,0
bakhshiev,1
mokeev,1
nesis,1
temple,1
vainrub,2
bahtinoff,1
yapparov,2
rahil,1
isachenkov,1
zaoui,2
toien,2
marr,2
virenius,1
mikhailjants,1
lawlor,2
reks,0
liberman,1
ryzhov,1
western,1
prokurorov,0
abbakumovsky,1
agalov,1
agarev,1
creasey,2
pakharkov,1
glukhonkov,1
jarov,0
lishin,1
bateman,1
bazilevsky,1
dzhavahishvili,1
jongolovich,1
shelting,2
agdaroff,2
eidelman,1
bahchivandzhi,1
ventura,1
jivlyuk,1
eingorn,1
ponomarkov,1
